id,model,quantization,language,input_length,text,ground_truth,prediction,confidence,inference_time_ms,memory_mb,load_time_ms
en_017,BERT Multilingual,fp32,en,473,"After reading the 9 other reviewers talk about the taste and the heat, I decided to order this instead of the hotter sauce from the same maker.  Note that I also bought Blair's After Death.  That i know is good.<br />As i stated in subject heading, this product was a disappointment.  I tasted more vinegar than the heat.  I had to dispensed a lot of the sauce to get any heat, but then it ruined the taste because of the vinegar tastes.<br /><br />I'm sticking to Blair's.",NEGATIVE,NEGATIVE,0.5494382381439209,89.72,0.00,15786
en_018,BERT Multilingual,fp32,en,164,"Awful, awful packaging. As soon as my mother opened the box the powder spilled all over the place because the bag was ripped opened. Flimsy piece of thin thin foil.",NEGATIVE,NEGATIVE,0.9307366609573364,34.95,0.00,15786
en_019,BERT Multilingual,fp32,en,1374,"I don't much care for this Stash Premium Loose Green Tea.  I'm no tea expert, but I've got several problems with it.  Flavor-wise, I find this tea to be bitter with a grassy taste (that's not a good flavor, to me).  Texture-wise, the tea ""leaves"" range from almost half-inch long thin shards of leaves down to 1/16th of an inch sized remnants (I've uploaded a picture so you can see for yourself).  The mishmash of textures makes it difficult to portion out the leaves and results in a lot of the small stuff making its way through the infuser of my <a href=""http://www.amazon.com/gp/product/B0010NR7C0"">Bodum YoYo Personal Tea Set with Infuser and 12-Ounce Glass</a> (admittedly, a finer meshed infuser might not have as much of an issue here).  Also, the wide range of textures indicates (to me) that these tea leaves might not necessarily have been chosen for inclusion.  Instead, it feels like they might just have been leftovers from other processes (that's merely my non-knowledgeable feelings and not based on any hard facts).  On a positive note, I will say that the steeped beverage does have a very nice yellowish green color.  Overall, though, I have to rate this tea at a not-very-good 2 stars out of 5.  A green tea that I do like is <a href=""http://www.amazon.com/gp/product/B000F4H5FE"">Twinings Green Gunpowder Tea, Loose Tea, 3.53-Ounce Tins (Pack of 6)</a>.",NEGATIVE,NEGATIVE,0.8561913967132568,291.29,0.00,15786
en_020,BERT Multilingual,fp32,en,392,"I tasted these and thought they were the just as good as the sugar ones, THEN,,, about an hour later I was running to a bathroom.  My stomach started cramping and making all sorts of noises. I'll leave the rest out.  I only want to say, try a sample before you buy a big bag of these.  You may or may not have the digestive system to handle this.  Oh, by the way, I only ate about 10 bears...",NEGATIVE,NEGATIVE,0.4880136251449585,74.26,0.00,15786
en_021,BERT Multilingual,fp32,en,404,"I've been excitedly trying every type of K cup I can get my hands on since I got my Keurig for christmas and, until now, have not encountered any that I truly hate. Until I discovered this one. I would have though it pretty difficult to ruin hot chocolate but the people at Grove Square certainly did a good job. Not only was the hot chocolate watery, but it had a horrible plastic aftertaste also. Yuck!",NEGATIVE,NEGATIVE,0.31903305649757385,68.22,0.00,15786
en_022,BERT Multilingual,fp32,en,154,"I love most of the hint waters, but this one was too flowery/perfumey for my tastes. It tasted kind of artificial. I won't be purchasing this flavor again",NEGATIVE,NEGATIVE,0.5740559101104736,36.29,0.00,15786
en_023,BERT Multilingual,fp32,en,354,"I bought this for my finicky old cat in hopes that he could be persuaded to eat something healthier than grocery store crunchies.  He did try them at first and managed to chew them just fine, but he didn't eat them for long...now he just roots around in the bowl for his regular stuff and spits out any of the Newman's that he accidentally gets ahold of.",NEGATIVE,NEGATIVE,0.4410415589809418,64.06,0.00,15786
en_024,BERT Multilingual,fp32,en,130,"Like the caramel dip, I would give this no stars if it were an option.  It is so bad, I took one taste and tossed it in the trash!",NEGATIVE,NEGATIVE,0.8277665972709656,30.59,0.00,15786
en_025,BERT Multilingual,fp32,en,219,"I bought these cashews thinking they were premium nuts and my wife and I both agreed they were old and stale and flavorless. If your smart stick with the standard Planter's cashews they have more flavor and are fresher.",NEGATIVE,NEUTRAL,0.3051919639110565,38.64,0.00,15786
en_026,BERT Multilingual,fp32,en,407,"Bought the Original flavor from the store and just tried them tonight. They were very greasy and salty. I did not like them a lot. I will not purchase this original flavor again. However I can't complain because I got the 3 ounce bag for only $1.00 at the store while they were on sale. I tried the BBq flavor and they are delicious. I bought the sea salt & vinegar, and cheddar but haven't tried those yet.",NEGATIVE,NEGATIVE,0.33540356159210205,77.06,0.00,15786
en_027,BERT Multilingual,fp32,en,731,"I went to their website yesterday, where I found information about a settlement for a class action lawsuit against this company.  You can read about it on their own website.  Apparently, since then, they have cleaned up their act and their food.  I bought four cans of the duck out of desperation because the shipment of Blue Buffalo Wilderness Wild Duck that I usually feed my cats hasn't arrived yet and I'm all out. I can't find it anywhere locally, so I gave in and bought four cans of EVO at a local pet supply store.  My cats ate it up immediately.  It smells ok, looks fresh, but I notice that the phosphorus level is three times higher than Blue's wild duck.  So as soon as Blue arrives, my cats will be going back to that.",NEGATIVE,NEUTRAL,0.351198673248291,116.43,0.00,15786
en_028,BERT Multilingual,fp32,en,253,"Beware.. there are warnings to NOT feed your dogs chicken treats made in China.  They are causing kidney failure and DEATH.  I use to give my pets these and they loved them.. but I'm not going to risk my babies health with a product made in China. [...]",NEGATIVE,NEGATIVE,0.7570171356201172,50.31,0.00,15786
en_029,BERT Multilingual,fp32,en,116,"It was smaller than I thought and one of the bamboos was yellow and died.  I was disappointed and did not feel luck.",NEGATIVE,NEGATIVE,0.5912973284721375,24.71,0.00,15786
en_030,BERT Multilingual,fp32,en,959,"Love these cookies. They taste wonderful. No trans fat, vegan, Kosher, healthy ingredients. So what's my gripe? If you look at the nutrition label on the back of the cookie package carefully, notice that a serving is 1/2 a cookie. And, 1/2 a cookie is 210 calories (different from the info on the Amazon site, but I'm looking at the package right now -- same product, current package). So, if you eat the whole cookie (I dare you to stop at 1/2. I know I can't! I tried.), you've eaten a 420-calorie cookie. Wow. That's a lot. Sorry to burst the bubble. I take one of these to work every once in awhile to eat for lunch (and 420 calories is a large lunch for me), but that's the only way I can eat them. I bought these not realizing they'd counted the cookie as two servings (which is pretty sneaky, IMO), and relied on the Amazon site info, which needs to be updated to reflect current package count. Great cookies, but if calories factor in for you, beware.",NEGATIVE,POSITIVE,0.44404253363609314,188.83,0.00,15786
en_031,BERT Multilingual,fp32,en,967,"I just ate half of a 4.25 ounce Hershey's Milk Chocolate with Almonds Bar and found ZERO, ZIP, -0- WHOLE ALMONDS.  In fact, I found nothing close to an entire almond...the biggest was maybe a third of one half of a single nut! REALLY?! That is nuts!  I am sick of companies cheaping out on consumers.  For my entire 58 yr. life, my favorite chocolate, without exception, and including the likes of other crowd favorites like Godiva, has been Hershey's.  But this cost-cutting stuff by Hershey's?  How can this be true?  Okay, maybe it's acceptable to put ""pieces"" (taste like stale floor sweepings) into Halloween-sized very small bars, but, please, NOT into the larger candy bars that earned Hershey's such a great brand name!  Keep it up and you will lose customers like me who know quality from crap.  Charge more but don't listen to the corporate idiots telling you it's okay to sub almond pieces for almonds.  Please chime in if you know what I am talking about!",NEGATIVE,NEGATIVE,0.6143549084663391,178.35,0.00,15786
en_032,BERT Multilingual,fp32,en,645,"I purchased this product thinking that it would be a good alternative to Senseo pods that are hard to find at a good price. They DO NOT fit a Senseo machine. I was not concerned since I have a nice Krups expresso machine and the pods fit perfectly into the coffee receptical. Expecting a nice Starbucks shot, all that came out was slightly colored water. The pods were expired for nearly 8 months, so there was no way I would keep them. I returned the product, but had to pay $12.00 to ship it back, after paying for shipping to get it to me! I have bought many things from Amazon, but this is by far the worst. Do not buy this terrible product.",NEGATIVE,NEGATIVE,0.8946818709373474,110.97,0.00,15786
en_033,BERT Multilingual,fp32,en,1061,"I had bought Nestle Dark Chocolate in a single box at local store and loved it.  Then on Amazon, I saw the 50-count, 2-pack size and the outside of the box in the picture also said ""Dark Chocolate"" so I ordered it.  Much to my surprised, it was awful, and the ingredients were different too.  It showed up as ""Dark Hot"" when I ordered it but I went by the picture online and thought it was just a different name for differentiating it from the regular single boxes of Dark Chocolate.  Nope.  Tasted awful and I ended up embarrassingly giving one box to the needy Food Bin and gave the other opened box to some people at work.  Not the same thing at all even though it says ""Dark Chocolate"" (still does), it is NOT the same as the single box of Dark Chocolate with 8 envelopes sold in pack of 12.  I will not buy the actual one I like at Amazon as the price is about the same as my local store.  But if you like the Dark Chocolate generally sold as 8 packets in a box, be aware it is NOT the same thing as the 50-count box labelled Dark Chocolate on the outside.",NEGATIVE,NEGATIVE,0.6389754414558411,176.10,0.00,15786
en_034,BERT Multilingual,fp32,en,159,"This has to be the worst tasting coffee I have ever had in a k-cup. I buy a lot of k-cups this is the by far the worst. Don't waste your money on this product.",NEGATIVE,NEGATIVE,0.9631528854370117,36.38,0.00,15786
en_035,BERT Multilingual,fp32,en,278,"I unfortunately don't have a food critic's particular vocabulary or understanding of the dimensions on which to evaluate food.  However you articulate it, this product isn't so good.  Its bland, dry and boring.  I'm sure its particularly healthy, but I won't be buying it again.",NEGATIVE,NEGATIVE,0.663476288318634,50.58,0.00,15786
en_036,BERT Multilingual,fp32,en,616,"Wow this vinaigrette is probably the most disgusting thing i ever ate!<br /><br />I just came back from Japan after staying there for more than a year i saw this a the local supermarket and bought it at 5$ which i pretty expensive for the quantity.<br /><br />I thought that for 5$ i was betting on quality...<br /><br />Wow was i wrong when i open the bottle an awful smell came out of it!<br /><br />I currently live in canada and japanese steakhouse and real japanese salad dressing are two different thing. Wafu is not even in between!<br /><br />My review?<br /><br />Do not buy this product it is not worth it.",NEGATIVE,NEGATIVE,0.9316679239273071,123.81,0.00,15786
en_037,BERT Multilingual,fp32,en,591,"This is my second time buying Goji juice from this account. The 1st 2 bottles I bought were red, sweet, and tasted fruity. The 2nd time I bought 2 bottles the juice was orange, tasted like a smokey rotten fruit, and the lable was different. I'm very disappointed because I thought if I bought from the same company, I would get the same product. How do I get my money back for this trash I was sent? I will never buy Goji online again. It's a great product but being stored wrong and sent to the buyer wrong. I'm very upset with my purchase. SUCH a waste of money. DO NOT BUY GOJI ON AMAZON!",NEGATIVE,NEGATIVE,0.9249398112297058,105.07,0.00,15786
en_038,BERT Multilingual,fp32,en,115,"is that the correct price 23.00 dollars for a 16 count of T disc when they cost 8.99 normally.. are you serious????",NEGATIVE,NEGATIVE,0.33928412199020386,28.32,0.00,15786
en_039,BERT Multilingual,fp32,en,678,"As others have said, this is REALLY MILD in flavor!  The instructions call for 1 packet per 16 oz. of water.  There are 6 packets per box.<br /><br />I decided to give it a try as I am basically lazy and wanted some (unsweetened; unlemoned) iced tea that I could make on a moment's whim.<br /><br />I started with 1 packet per 16 oz of water; then 2 packets per 16 oz of water and got SOME flavor.  Now I'm using 3 packets per 16 oz. of water.  (I placed a fairly large order so I could experiment with it AND have it throughout the fall and winter.)<br /><br />Since I'm using triple the amount of product in order to get some flavor, I will probably not order this item again.",NEGATIVE,NEUTRAL,0.4093901813030243,137.24,0.00,15786
en_040,BERT Multilingual,fp32,en,384,"Having purchased a package of this tea and one of Stash's Pinhead Gunpowder Green, I can safely say that the Gunpowder is much better tea. The ""Organic Premium"" is unacceptably heavy on stems and twigs, with an unpleasantly mulchy taste. The Gunpowder, on the other hand, is much lighter and more delicate. Same price, same distributer, both organic. Stash Gunpowder is simply better.",NEGATIVE,NEGATIVE,0.5784374475479126,73.79,0.00,15786
en_041,BERT Multilingual,fp32,en,1021,"This was one of my favorite cereals as a child.  Probably should have been a treat to have once in a while rather than breakfast if you consider many of the ingredients that have always been a part of this cereal.  However, since the mid-1990s, our food supply has contained progressively more and more genetically modified foods (unbenounced to the public), and this cereal more than likely contains a fair amount of something that is arguably much harder on our bodies than food colors and preservatives, genetically modified corn.  The U.S. produces and consumes the majority of GMOs worldwide.  Europe banned them from their food supply in 2001.  We do not hear much about them because many of the big U.S. food conglomerates such as General Mills do not source organic or non-gmo ingredients and they sponsor our media, t.v., newspapers and magazines.  Please read about GMOs, the studies that have been done, and the health risks for you and your family.  Here is a great article from Natural News:<br /><br />[...]",NEGATIVE,POSITIVE,0.5180091261863708,161.41,0.00,15786
en_042,BERT Multilingual,fp32,en,1191,"I LOVE tamarind balls, sweet and tart like other's have described. HOWEVER DO NOT GET THESE FROM IMPORTFOODS. I wouldn't get these type at all no matter what company. Importfoods is bad because they did not bother to return my emails until I was forced to leave them a bad review on Amazon. And even then they ignored my request for a partial refund. I had FOOLISHLY decided to order this product in bulk and had paid them a lot of money.<br /><br />I did this because I had tried so many brands of tamarind balls and loved them all. Some more than others but all that I tried were good.<br /><br />These were the sad exception. They tasted EXTREMELY stale and salty, YUCK! The ones that Importfoods sent were covered in dust. So I'm sure they were stale. But the seller is only part of the problem. This BRAND really is inferior. It's full of stale sugar and salt and quite gritty. Barely any tamarind at all. So no wonder it tasted gritty, stale, with barely any fruit.<br /><br />It also had a weird burnt/molasses- like aftertaste. More just burnt than molasses.<br /><br />I'm leaving this review because there were no negative reviews,to warn me when I purchased these. Buyer Beware!!!",NEGATIVE,NEGATIVE,0.552280843257904,229.38,0.00,15786
en_043,BERT Multilingual,fp32,en,183,"This tea does have a good blend of caffine and herbs which wake you up, but seriously... It is disgusting... It smells terrible (and I love the smell of tea) and tastes just as bad...",NEGATIVE,NEGATIVE,0.5579962730407715,42.36,0.00,15786
en_044,BERT Multilingual,fp32,en,144,"These are awful....very dry and barely edible. Expected something much better!<br />Hope the birds like them!!! Hope they revamp these brownies.",NEGATIVE,NEGATIVE,0.8095404505729675,32.62,0.00,15786
en_045,BERT Multilingual,fp32,en,958,"In all of the groceries that I've been to in my area, these new ""Pop-Up Bowls"" of popcorn are replacing the traditional bags.  But the price for the new bowls is always the same as the price for the old bags, and there was 13% more popcorn in the older bags (3.3 oz bags, vs. 2.9 oz bowls).  This seems to be another in a series of sly moves by food retailers to disguise significant price hikes by subtle quantity reductions, like Tropicana did when they reduced their cartons from 64 oz to 59 oz.  The old bags were fine, and I'd much rather have 13% more popcorn than the new bowl.  If Redenbacher had been honest about the price hike, and charged 13% more but kept the quantity the same; or if they offered a choice between the old larger bags and the new smaller bowls instead of outright replacing the bags with the bowls, then I could respect this change.  But given how they've made this change, I'm shopping for a new brand (Central Market, mabye?).",NEGATIVE,POSITIVE,0.40846604108810425,182.83,0.00,15786
en_046,BERT Multilingual,fp32,en,446,"Seriously, this is the worst tasting grape juice I've ever ingested.  Tastes like it's 2/3 water and 1/3 grape juice.  Talk about a misleading label!  Says 100% juice.  I would beg to differ.  For reference, I've drank many brands of grape juice from the obvious Welch's to any old store brand.  The kicker is on the label there's a gold medal this was awarded for superior taste.<br /><br />Don't waste you money on this.  Would never buy again.",NEGATIVE,NEGATIVE,0.9415791034698486,88.32,0.00,15786
en_047,BERT Multilingual,fp32,en,691,"OK, I am very health concious and watch calories, carbs and fat content. I like regular PB very much but it has a lot of calories so I thought I would try this. Immediately after opening kind of a greenish brown color and pudding consistency. When I first looked at it my thoughts definitely were not of PB but something much worse. Then I tasted it. I would have to say that the taste and texture were the same as that much worse item that comes in about the same color. This stuff is totally GROSS. Do not waste your money. Save the calories and have the real thing. At least with real PB you get some nutritional value. I do think Walden Farms could market this as an appetite suppresant.",NEGATIVE,NEGATIVE,0.49383875727653503,115.86,0.00,15786
en_048,BERT Multilingual,fp32,en,1313,"I received 3 months of Ice Cream from this Club as a gift. I was very disappointed with the Ice Cream I received and the giver was unhappy after seeing the choices I was sent each month. The first 2 months included a duplication of black walnut, a very bland vanilla frozen yogurt, some type of caramel,that didn't taste at all like caramel(I tried,but couldn't give it away), also 2 peppermint in one month. I emailed them after the 2nd month with my complaint,thinking they might want to take a second look at what was being sent. I did receive an immediate response, with an apology and an offer of an extra month of ice cream. They also told me they spoke with their shipper and was told my 3rd month was really going to be scrumptous. I just received it. May be somewhat better, but there is only one pint with higher butterfat then the average grocery store brand, 2 frozen custards, and 1 ""neopolitan""(how exciting)in a square cardboard carton and from a company not even mentioned in their ad. We have a number of Ice Cream stores in our city and thus far I have only received 1 pint each month that might compare. I felt I should write this review because the person who sent this gift had no reviews to read and had no idea that I might receive duplicates, along with the vanilla custard and neopolitan.",NEGATIVE,NEGATIVE,0.4240865409374237,225.97,0.00,15786
en_049,BERT Multilingual,fp32,en,141,"I could not believe the tiny, tiny bag of chocolate covered coffee beans in a large parcel post box.  Find someplace else to buy these!!!! JP",NEGATIVE,NEGATIVE,0.4650535583496094,29.47,0.00,15786
en_050,BERT Multilingual,fp32,en,965,"These were a great price that's why I gobbled some up [lemon, toffee, chocolate & strawberry].  I've tried the lemon in some of the WuLong tea [ick..guess I should try a better tasting tea?] noticed the after taste, as usual.  I've also tried the strawberry in some carbonated water [suggestion from the 101 Recipes for the HCG protocol] and that's not too bad.  Definitely something you gotta get use to...because of the after taste. [I know this product and other Stevia products are natural so this taste doesn't mentally affect me as does the Aspartame, Splenda and other man-made sweeteners - those are just plain bad for us but the after taste of these Stevita products remind me of those man-made sweeteners - ICK].  I've actually had a little better luck with the Nu-Stevia powder, as long as I am careful on the amount [for example I use it in my smoothies, i.e. 1 packet for a 16-20oz smoothie].  So the '3' rating is for the taste...and after-taste.  :-(",NEUTRAL,NEUTRAL,0.9436133503913879,187.96,0.00,15786
en_051,BERT Multilingual,fp32,en,370,"These don't taste like cardboard, thankfully; they have a pleasant, subtle almost nutty flavor, as if peanut butter is in them. However, the texture, even in the center of the cookie, is not moist at all!! I was hoping the outside would be slightly crunchy while the inside was softer and moist. They also crumble easily. They are alright but nothing I'd purchase again.",NEUTRAL,NEGATIVE,0.5779993534088135,68.75,0.00,15786
en_052,BERT Multilingual,fp32,en,1428,"After having initially sampled the LESTER'S FIXINS <a href=""http://www.amazon.com/gp/product/B0079KZ9AK"">Sweet Corn Soda</a> and the <a href=""http://www.amazon.com/gp/product/B0079KWXKY"">Buffalo Wing Soda</a>, and now this ""bacon flavored"" concoction, I've come to the conclusion that this a rather creepy line of beverages.  However, I love the novelty idea of these weirdo sodas - for me, this helps to mitigate what would otherwise be a poor rating of these items.<br />All of this being said, I shared a bottle of this dubious beverage with three co-workers.  The first thing I noticed when I opened the bottle was a smell that is best described as an amalgamation of <a href=""http://www.amazon.com/gp/product/B000EFBM4O"">Baco's</a> imitation bacon bits and garbage!  In all seriousness, it was a somewhat fetid smell that, had I not known what this drink was, I probably wouldn't have tasted it.  Fortunately, the smell of this beverage was the worst part; if you can actually avoid the scent of this soda, it's marginally palatable.  In essence, it tasted like imitation bacon bits and cane sugar, with a faint, lingering aftertaste of liquid smoke.  It wasn't good, but out of the three ""Lester's Fixins"" sodas that I've sampled so far, this one was the least problematic to drink... But then again, that's not saying very much!<br />Lester's Fixins Bacon Soda is great as a novelty or as a gag gift, but that's about it.",NEUTRAL,NEGATIVE,0.4099162817001343,324.73,0.00,15786
en_053,BERT Multilingual,fp32,en,202,"As usual the biscuits is very good. Normally we get couple of biscuits that are totally crumble once we get it. This time a whole packet (out of 7) is totally worthless. Expect not to get similar again.",NEUTRAL,NEUTRAL,0.4920484125614166,40.58,0.00,15786
en_054,BERT Multilingual,fp32,en,1395,"I'll start with a confession: I make my own margaritas, the basic recipe with lime juice, triple sec, and tequila, plus salt.  That means I'm not expecting other flavors and I'm really not expecting it to be sweet.<br /><br />Take away the alcohol and what's left is lime, and that's what I was expecting when I tasted this.  It's not what I got.  There's lime, of course, plus what seems to be lemon for some reason, but no detectable orange or bitter orange (which would replace the triple sec).  It's fairly sweet.<br /><br />It's also a startling neon green-yellow, a great color for a kids' drink.<br /><br />If you like sweet margarita mixes, this might be for you.  After the kids have gone to bed you can add some tequila and triple sec and make it a bit more interesting, and from there you could throw it into a blender with some ice for a frozen drink.  If your margaritas are lime juice with a kick, you'll probably find this to be too sweet.<br /><br />Update: I mixed this in a bottle with a narrow neck, and left it for a couple of days.  When I poured myself a glass tonight, I noticed a white residue stuck on the bottom of the bottle.  I've poured out the Crystal Light and tried everything I can think of, but I can't clean the residue off.  You might want to keep this in a bottle or pitcher with a wide mouth that you can fit your hand into, to be able to clean it properly.",NEUTRAL,NEGATIVE,0.44436967372894287,280.36,0.00,15786
